wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/3104 [00:00<?, ?it/s]`generation_config` default values have been modified to match model-specific defaults: {'temperature': 1e-06, 'repetition_penalty': 1.05}. If this is not desired, please set these values explicitly.
 22%|██▏       | 698/3104 [13:15:16<49:05:05, 73.44s/it]
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.951675257731959e-06, 'num_tokens': 2974677.0, 'completion_length': 31.606302083333333, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.02}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.9033505154639176e-06, 'num_tokens': 5930763.0, 'completion_length': 31.6840625, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.03}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.8550257731958764e-06, 'num_tokens': 8899224.0, 'completion_length': 31.378177083333334, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.05}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.806701030927835e-06, 'num_tokens': 11825191.0, 'completion_length': 31.565572916666667, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.06}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.758376288659794e-06, 'num_tokens': 14819621.0, 'completion_length': 31.9784375, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.08}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.7100515463917526e-06, 'num_tokens': 17822370.0, 'completion_length': 31.537552083333335, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.1}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.6617268041237114e-06, 'num_tokens': 20809993.0, 'completion_length': 31.710572916666667, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.11}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.61340206185567e-06, 'num_tokens': 23807491.0, 'completion_length': 31.698229166666668, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.13}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.565077319587629e-06, 'num_tokens': 26814533.0, 'completion_length': 31.93947916666667, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.14}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.5167525773195877e-06, 'num_tokens': 29771978.0, 'completion_length': 32.329427083333336, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.16}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.4684278350515464e-06, 'num_tokens': 32744338.0, 'completion_length': 31.93875, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.18}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.420103092783505e-06, 'num_tokens': 35732550.0, 'completion_length': 32.064375, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.19}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.371778350515464e-06, 'num_tokens': 38686120.0, 'completion_length': 32.01322916666667, 'rewards/acc_reward': 0.0, 'rewards/think_format_reward': 0.0, 'rewards/_fn': 0.0, 'reward': 0.0, 'reward_std': 0.0, 'clip_ratio': 0.0, 'epoch': 0.21}
